event_name,group_name,attendees,category,venue_event_link,event_street,Google_Map_Link,event_lat,event_lng,address,city_id
Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,Family,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St West Orange, NJ",93
My Gym Little Bundles Classes,JCFamilies,1,Family,https://www.meetup.com/JCFamilies/events/275886037,252 9th St,https://www.google.com/maps/search/api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo,40.728409,-74.04449100000002,"252 9th St Jersey City, NJ",37
Jolly January,Humorous Toastmasters,3,Learning,https://www.meetup.com/Toastmasters-New-York/events/275917096,Online,https://www.google.com/maps/search/api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us,40.6988321,-73.9946772,"Online New York, NY",140
ZOOM EVENT: HOW DOES SOCIAL CONTRACT THEORY GUIDE US,Cafe Philo New York,2,Learning,https://www.meetup.com/New-York-Cafe-Philo/events/275901201,10 South William St,https://www.google.com/maps/search/api=1&query=40.704727%2C-74.010640,40.704804,-74.01039399999998,"10 South William St New York, NY",140
"Studio & Lighting: Feb 24 - Mar 10, Wednesdays 6:00 PM-9:15 PM. In person.",PhotoManhattan - Photography classes NYC & Free Exhibits,1,Photography,https://www.meetup.com/photography-classes-nyc/events/274851102,51 W 14th St #3r,https://www.google.com/maps/search/api=1&query=40.737290%2C-73.995834,42.7245634,-73.7009225,"51 W 14th St #3r New York, NY",140
The Cornwall Writers' Circle,The Cornwall Writers Circle,4,Writing,https://www.meetup.com/The-Cornwall-Writers-Circle/events/275886062,See Description Box for,https://www.google.com/maps/search/api=1&query=40.742947%2C-73.984604,40.867384,-73.926406,"See Description Box for New York, NY",140
Writing Workshop,Panera Collective -- Novel Writing Workshop,1,Writing,https://www.meetup.com/Panera-Collective/events/275831786,345 Adams St.,https://www.google.com/maps/search/api=1&query=40.692776%2C-73.988472,40.693899,-73.989387,"345 Adams St. Brooklyn, NY",109
Shut Up & Write! East Village/Lower East Side,Shut Up & Write! NYC,1,Writing,https://www.meetup.com/shutupandwriteNYC/events/275919961,26 1st Avenue,https://www.google.com/maps/search/api=1&query=40.723694%2C-73.987831,40.7587979,-73.96234270000002,"26 1st Avenue New York, NY",140
Regular Meeting,Alternative Banking Group - Occupy Wall Street of NYC,2,Movements,https://www.meetup.com/Alternative-Banking-Group-Occupy-Wall-Street-of-NYC/events/275790758,Cyberspace,https://www.google.com/maps/search/api=1&query=Cyberspace%2C+New+York%2C+ny%2C+10001%2C+us,40.714269,-74.005973,"Cyberspace New York, NY",140
Rise and Resist Meeting,Rise and Resist,1,Movements,https://www.meetup.com/rise-and-resist/events/275876132,320 West 37th Street,https://www.google.com/maps/search/api=1&query=320+West+37th+Street%2C+Brooklyn%2C+ny%2C+10018%2C+us,40.580849,-74.00397,"320 West 37th Street Brooklyn, NY",109
"Dismantle Patriarchy Art Contest for Students, deadline 2/28/21",Radical Feminist Activists,1,Movements,https://www.meetup.com/RadFemActivists/events/274910866,New York,https://www.google.com/maps/search/api=1&query=New+York%2C+New+York%2C+ny%2C+10001%2C+us,40.7127281,-74.0060152,"New York New York, NY",140
"Volunteer with 10,000 PB&Js",Volunteer NYC,2,Movements,https://www.meetup.com/volunteernyc/events/275837257,32nd Street and 7th Avenue,https://www.google.com/maps/search/api=1&query=32nd+Street+and+7th+Avenue%2C+New+York%2C+NY%2C+10001%2C+us,40.802533,-73.953026,"32nd Street and 7th Avenue New York, NY",140
Monthly Meetup ( Meet others passionate about permaculture and share projects).,The New York Permaculture Meetup,6,Movements,https://www.meetup.com/nycpermaculture/events/275771409,1095 Sixth Ave ,https://www.google.com/maps/search/api=1&query=1095+Sixth+Ave+%2C+New+York%2C+NY%2C+10018%2C+us,40.754842,-73.98411800000002,"1095 Sixth Ave  New York, NY",140
An-Cap After Work,New York Anarcho-Capitalist Meetup,1,Movements,https://www.meetup.com/nycancap/events/275897559,10 West 33rd Street,https://www.google.com/maps/search/api=1&query=10+West+33rd+Street%2C+New+York%2C+NY%2C+us,40.747811,-73.985271,"10 West 33rd Street New York, NY",140
The Original Drinking Liberally Weekly Thursday Meetup,Drinking Liberally Downtown Brooklyn and NYC,1,Movements,https://www.meetup.com/Drinking-Liberally-Downtown-Brooklyn/events/275918383,627 9th Ave,https://www.google.com/maps/search/api=1&query=Rudy%27s+Bar+%26+Grill%2C+627+9th+Ave%2C+New+York%2C+NY%2C+10036%2C+us&query_place_id=ChIJOxerSlJYwokRPmpdLA4CpWI,40.7615795,-73.9905641,"627 9th Ave New York, NY",140
Weekly Thursday Meetup,The Original Drinking Liberally NYC,1,Movements,https://www.meetup.com/drinkingliberallynyc/events/275918400,627 9th Avenue,https://www.google.com/maps/search/api=1&query=40.760040%2C-73.991821,40.7615795,-73.9905641,"627 9th Avenue New York, NY",140
thelovemaze.com Singles Wine and Love Sunday @ Brookfield Place,Singles by Neighborhood-,1,Movements,https://www.meetup.com/Singles-by-Neighborhood/events/275830612,230 Vesey St,https://www.google.com/maps/search/api=1&query=40.712715%2C-74.015280,40.714271,-74.014903,"230 Vesey St New York, NY",140
MONTHLY NOnprofit and volunteering networking,NYC Non-Profit Meetup Club (NYCNP),1,Movements,https://www.meetup.com/NYCNonprofit/events/275895490,321 W 44th St #103,https://www.google.com/maps/search/api=1&query=40.759132%2C-73.989899,40.759059,-73.9898271,"321 W 44th St #103 New York, NY",140
LGBT Women ,Come Out & Talk LGBT Females Forty & Up,2,LGBTQ,https://www.meetup.com/Come-Out-Talk-LGBT-Females-Forty-Up/events/275919245,600 Ridgewood Rd,https://www.google.com/maps/search/api=1&query=600+Ridgewood+Rd%2C+Maplewood%2C+NJ%2C+07040%2C+us,40.730753,-74.2826,"600 Ridgewood Rd Maplewood, NJ",43
Black Lotus Project: A Virtual Gathering of Black Bisexual+ Men,NYC Tri-State Area Bisexual+ SGL Queer & Questioning Meetup,6,LGBTQ,https://www.meetup.com/bisexual-nyc/events/275652731,Virtual Online Meeting,https://www.google.com/maps/search/api=1&query=Virtual+Online+Meeting%2C+New+York%2C+ny%2C+10001%2C+us,42.81143,-76.879806,"Virtual Online Meeting New York, NY",140
"Book to be discussed:  ""Swimming in the Dark"" by Tomasz Jedrowski",NYC Gay Guys' Book Club,16,LGBTQ,https://www.meetup.com/NYC-Gay-Guys-Book-Club/events/268036229,425 Avenue of the Americas (Sixth Avenue and 10th Street,https://www.google.com/maps/search/api=1&query=40.734240%2C-73.999084,40.77427,-73.96981,"425 Avenue of the Americas (Sixth Avenue and 10th Street Manhattan, NY",133
Steele Wool by Frank A. Cappello,Oddball Cinema,1,Film,https://www.meetup.com/Oddball-Cinema/events/275407602,433 E 6th St,https://www.google.com/maps/search/api=1&query=40.725964%2C-73.984620,40.7127281,-74.0060152,"433 E 6th St New York, NY",140
Rockin' Knitters -  Virtual meetings until further notice,Rockin' Knitters  Meetup Group,4,Hobbies & Crafts,https://www.meetup.com/Rockinknitters-Meetup-Group/events/275229623,1023 Stuyvesant Ave,https://www.google.com/maps/search/api=1&query=40.696686%2C-74.268845,40.6962983,-74.27050759999999,"1023 Stuyvesant Ave Union, NJ",88
Singalong and Story Time for Kids,Family fun in Brooklyn,2,Family,https://www.meetup.com/Family-fun-in-Brooklyn/events/275873427,695 5th Ave,https://www.google.com/maps/search/api=1&query=40.661053%2C-73.993462,40.6501038,-73.9495823,"695 5th Ave Brooklyn, NY",109
My Gym Little Bundles Classes,JCFamilies,1,Family,https://www.meetup.com/JCFamilies/events/275886037,252 9th St,https://www.google.com/maps/search/api=1&query=My+Gym+Jersey+City%2C+252+9th+St%2C+Jersey+City%2C+NJ%2C+07302%2C+us&query_place_id=ChIJ4zCr0U1XwokRIuPy2hdo2Yo,40.728409,-74.04449100000002,"252 9th St Jersey City, NJ",37
West Orange Breastfeeding Support Group,West Orange New Moms Meetup,1,Family,https://www.meetup.com/West-Orange-New-Moms-Meetup/events/275886460,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St West Orange, NJ",93
Sunday Morning Prenatal Yoga,West Orange Pregnancy Meetup,1,Family,https://www.meetup.com/West-Orange-Pregnancy-Meetup/events/275824180,253 Main St,https://www.google.com/maps/search/api=1&query=Whole+Mother+Village%2C+253+Main+St%2C+West+Orange%2C+NJ%2C+07052%2C+us&query_place_id=ChIJyRTwoY-rw4kRmMcDHSlT4_8,40.7987113,-74.2390353,"253 Main St West Orange, NJ",93
Central Park Speakers (IN PERSON) - Public Speaking Practice ,Central Park Speakers (in person),4,Learning,https://www.meetup.com/Central-Park-Speakers-IN-PERSON/events/275874023,10 Columbus Cir,https://www.google.com/maps/search/api=1&query=The+Shops+at+Columbus+Circle%2C+10+Columbus+Cir%2C+New+York%2C+NY%2C+10019%2C+us&query_place_id=ChIJp3PsL_ZYwokRdBcE-3KTjrg,40.76768,-73.982152,"10 Columbus Cir New York, NY",140
Private Hands on  Ultrasound Training in Regional Anesthesia & Pain Mgt.,Ultrasound Guided Interventional Pain & Regional Anesthesia,1,Learning,https://www.meetup.com/ultrasound-guided-interventional-pain-regional-anesthesia/events/275896163,675 3rd Ave,https://www.google.com/maps/search/api=1&query=Meet+in+Place+Midtown%2C+675+3rd+Ave%2C+New+York%2C+NY%2C+10017%2C+us&query_place_id=ChIJaerUsvlZwokRchP3UwiPvAA,40.7127281,-74.0060152,"675 3rd Ave New York, NY",140
Jolly January,Humorous Toastmasters,3,Learning,https://www.meetup.com/Toastmasters-New-York/events/275917096,Online,https://www.google.com/maps/search/api=1&query=Online%2C+New+York%2C+ny%2C+10001%2C+us,40.6988321,-73.9946772,"Online New York, NY",140
